language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,n_observed_chips,n_missing_chips,n_valid_pairs,H_label_MillerMadow,effective_colour_categories,rarefaction_target,rarefaction_eligible
89,8,89:8,7,,295,35,43365,1.7213798922907955,5.592239831255957,313,False
89,9,89:9,5,,272,58,36856,1.4646126311770962,4.325867209611688,313,False
89,10,89:10,9,9.0,314,16,49141,2.0261602031976182,7.584905873746211,313,True
89,11,89:11,5,,255,75,32385,1.4552884750760555,4.285719610585652,313,False
89,12,89:12,7,7.0,330,0,54285,1.7737632785516018,5.8929886424074445,313,True
89,13,89:13,6,5.960122699386497,326,4,52975,1.6170958989489876,5.038436919436327,313,True
89,14,89:14,7,,212,118,22366,1.8507630318730246,6.364674119474797,313,False
89,15,89:15,6,6.0,330,0,54285,1.6415048721881884,5.162933223690596,313,True
89,16,89:16,8,7.999999999999897,329,1,53956,1.7478967680882027,5.742512131084758,313,True
89,17,89:17,8,7.999999999999782,330,0,54285,1.8521454094901062,6.373478586664677,313,True
89,18,89:18,10,9.896969501363543,330,0,54285,1.9896794664106774,7.31318926378026,313,True
89,19,89:19,10,9.997375227208167,330,0,54285,1.8877119827409412,6.604240764323634,313,True
89,20,89:20,8,7.948484848484637,330,0,54285,1.7934407657642677,6.010096264246021,313,True
89,21,89:21,7,6.957184404156132,327,3,53301,1.594214529466421,4.92445953475593,313,True
89,22,89:22,7,6.999999838773484,321,9,51360,1.6688558803019877,5.306093516879746,313,True
89,23,89:23,6,6.0,328,2,53628,1.6633695312479742,5.277062146668532,313,True
89,24,89:24,7,7.0,330,0,54285,1.7316932771556723,5.650213189806887,313,True
89,25,89:25,5,5.0,330,0,54285,1.5542525390242117,4.731548555176855,313,True
89,26,89:26,7,7.0,329,1,53956,1.7255625887175732,5.615679459066665,313,True
90,1,90:1,6,6.0,330,0,54285,1.7361999248162439,5.675734173707675,313,True
90,2,90:2,7,7.0,330,0,54285,1.801085810175144,6.056219800694921,313,True
90,3,90:3,7,,280,50,39060,1.6448694663658379,5.180333655034492,313,False
90,4,90:4,7,7.0,329,1,53956,1.8745748521011159,6.518047397020021,313,True
90,5,90:5,7,6.999999999999788,330,0,54285,1.8186349076241493,6.163439040911733,313,True
90,6,90:6,7,6.948484848484849,330,0,54285,1.571662855856677,4.814647605966631,313,True
90,7,90:7,5,5.0,330,0,54285,1.5656978260775198,4.7860135759453994,313,True
90,8,90:8,7,7.0,330,0,54285,1.6510692201060544,5.212550212156009,313,True
90,9,90:9,5,5.0,330,0,54285,1.5848998179819165,4.8788025857401465,313,True
90,10,90:10,7,7.0,330,0,54285,1.766183086830287,5.848487535231925,313,True
90,11,90:11,7,6.945979552362531,330,0,54285,1.6296146686901478,5.101908414669663,313,True
90,12,90:12,7,6.997494703877682,330,0,54285,1.74936985224528,5.750977568346823,313,True
90,13,90:13,7,6.999995094799492,330,0,54285,1.780328775154237,5.931806328573185,313,True
90,14,90:14,7,6.9999999999848175,330,0,54285,1.5374457277823315,4.652690841313073,313,True
90,15,90:15,7,6.896969696969698,330,0,54285,1.5623265739766001,4.769905884422688,313,True
