language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,H_physical_bin_observed_MillerMadow,H_physical_bin_full,H_label_MillerMadow,I_physical_label_MillerMadow,information_efficiency,effective_colour_categories,n_chips,n_observed_chips,n_missing_chips,n_rarefaction_eligible
52,15,52:15,13,12.997494501049147,2.9648905455799617,2.9361026667920824,2.3016980192646117,1.2778162534070723,0.43520830107864883,9.99113319604153,330,330,0,True
52,16,52:16,13,12.94597955235494,2.9648905455799617,2.9361026667920824,2.2995045251222934,1.32846259600499,0.4524578145819531,9.969241722088247,330,330,0,True
52,17,52:17,8,8.0,2.9648905455799617,2.9361026667920824,1.9453383379995113,1.2806835312566003,0.43618486020308184,6.995998466778885,330,330,0,True
52,18,52:18,8,7.999999999999788,2.9648905455799617,2.9361026667920824,1.9331734685195363,1.3850919808179705,0.47174507774664765,6.911408613967645,330,330,0,True
52,19,52:19,7,6.997494703877682,2.9648905455799617,2.9361026667920824,1.733923547183664,1.3400220204661901,0.45639481058415,5.662828753763706,330,330,0,True
52,20,52:20,6,6.0,2.9648905455799617,2.9361026667920824,1.7705292745974561,1.2953722326820996,0.44118764896507967,5.873961477383037,330,330,0,True
52,21,52:21,14,13.945864980893312,2.9648905455799617,2.9361026667920824,2.282000825763407,1.2688435151070252,0.43215229816651274,9.796261426141747,330,330,0,True
52,22,52:22,9,8.94848484848485,2.9648905455799617,2.9361026667920824,2.0528614138935,1.0738699573084196,0.3657467327195697,7.7901601173899895,330,330,0,True
52,23,52:23,10,9.999999859800837,2.9641907751940266,2.9361026667920824,2.1889398558550357,1.2990518102143964,0.4424408672445062,8.92574552022534,330,329,1,True
52,24,52:24,10,10.0,2.9648905455799617,2.9361026667920824,2.255887105010607,1.238220725149876,0.42172255730509833,9.543755869654296,330,330,0,True
52,25,52:25,14,13.896964791769186,2.9648905455799617,2.9361026667920824,2.350091601080556,1.2892255988755246,0.43909418204510625,10.486530258236886,330,330,0,True
53,1,53:1,6,5.999999999999788,2.9648905455799617,2.9361026667920824,1.3329618398540166,0.6700035188882756,0.22819485383333202,3.7922588335423275,330,330,0,True
